jobs,salary_in_usd,experience_level,employment_type,work_setting,company_location,company_size
Data Engineering,130000,Senior,Full-time,Remote,United States,M
Data Science and Research,160000,Entry-level,Full-time,In-person,United States,M
Data Science and Research,150000,Entry-level,Full-time,In-person,United States,M
Data Architecture and Modeling,206000,Senior,Full-time,In-person,United States,M
Data Architecture and Modeling,134000,Senior,Full-time,In-person,United States,M
Data Science and Research,180000,Senior,Full-time,Remote,United States,M
Data Science and Research,135000,Senior,Full-time,Remote,United States,M
Data Science and Research,200000,Senior,Full-time,In-person,United States,M
Data Science and Research,120000,Senior,Full-time,In-person,United States,M
Data Engineering,106700,Mid-level,Full-time,In-person,United States,M
Data Engineering,57700,Mid-level,Full-time,In-person,United States,M
Machine Learning and AI,266400,Senior,Full-time,In-person,United States,M
Machine Learning and AI,173300,Senior,Full-time,In-person,United States,M
Data Analysis,125000,Mid-level,Full-time,In-person,United States,M
Data Analysis,100000,Mid-level,Full-time,In-person,United States,M
BI and Visualization,165600,Senior,Full-time,In-person,United States,L
BI and Visualization,65800,Senior,Full-time,In-person,United States,L
Data Science and Research,210400,Mid-level,Full-time,In-person,United States,M
Data Science and Research,170500,Mid-level,Full-time,In-person,United States,M
Data Engineering,170000,Mid-level,Full-time,Remote,United States,M
Data Engineering,160000,Mid-level,Full-time,Remote,United States,M
Data Science and Research,185400,Senior,Full-time,Remote,United States,M
Data Science and Research,81536,Senior,Full-time,Remote,United States,M
Data Analysis,193000,Senior,Full-time,In-person,United States,M
Data Analysis,158000,Senior,Full-time,In-person,United States,M
Data Engineering,170000,Senior,Full-time,Remote,United States,M
Data Engineering,100000,Senior,Full-time,Remote,United States,M
Data Analysis,95000,Mid-level,Full-time,Remote,United States,M
Data Analysis,75000,Mid-level,Full-time,Remote,United States,M
Data Analysis,115000,Mid-level,Full-time,In-person,United States,M
Data Analysis,105000,Mid-level,Full-time,In-person,United States,M
Data Engineering,161900,Senior,Full-time,In-person,United States,M
Data Analysis,80000,Mid-level,Full-time,Remote,United States,M
Data Analysis,192500,Senior,Full-time,Remote,United States,M
Leadership and Management,100000,Mid-level,Full-time,In-person,United States,M
Leadership and Management,75000,Mid-level,Full-time,In-person,United States,M
Data Engineering,91000,Mid-level,Full-time,In-person,United States,M
Data Science and Research,166000,Senior,Full-time,In-person,United States,M
Data Science and Research,73100,Senior,Full-time,In-person,United States,M
Machine Learning and AI,179000,Senior,Full-time,In-person,United States,M
Machine Learning and AI,296400,Senior,Full-time,In-person,United States,M
Machine Learning and AI,159600,Senior,Full-time,In-person,United States,M
Leadership and Management,258500,Senior,Full-time,Remote,United States,M
Leadership and Management,226500,Senior,Full-time,Remote,United States,M
Data Science and Research,247250,Senior,Full-time,In-person,United States,M
Data Science and Research,118400,Senior,Full-time,In-person,United States,M
BI and Visualization,160000,Mid-level,Full-time,In-person,United States,M
BI and Visualization,140000,Mid-level,Full-time,In-person,United States,M
Machine Learning and AI,93400,Senior,Full-time,In-person,United States,M
Data Science and Research,219000,Senior,Full-time,In-person,United States,M
Data Science and Research,132000,Senior,Full-time,In-person,United States,M
Data Science and Research,130500,Senior,Full-time,In-person,United States,M
Data Science and Research,184700,Senior,Full-time,In-person,United States,M
Machine Learning and AI,250000,Senior,Full-time,In-person,United States,M
Data Science and Research,136000,Mid-level,Full-time,In-person,United States,M
Data Science and Research,91000,Mid-level,Full-time,In-person,United States,M
Data Science and Research,135000,Entry-level,Full-time,In-person,United States,M
Data Science and Research,110000,Entry-level,Full-time,In-person,United States,M
Data Science and Research,137500,Senior,Full-time,In-person,United States,M
Data Science and Research,81500,Senior,Full-time,In-person,United States,M
BI and Visualization,202000,Senior,Full-time,Remote,United States,M
BI and Visualization,147000,Senior,Full-time,Remote,United States,M
Data Science and Research,140000,Senior,Full-time,In-person,United States,M
Data Science and Research,125000,Senior,Full-time,In-person,United States,M
Data Science and Research,170625,Senior,Full-time,In-person,United States,M
Data Science and Research,127950,Senior,Full-time,In-person,United States,M
Data Analysis,85256,Entry-level,Full-time,In-person,United States,M
Data Analysis,71615,Entry-level,Full-time,In-person,United States,M
Data Science and Research,100000,Entry-level,Full-time,In-person,United States,L
Data Science and Research,100000,Mid-level,Full-time,In-person,United States,S
Data Engineering,185000,Executive,Full-time,In-person,United States,M
Data Engineering,125000,Executive,Full-time,In-person,United States,M
Data Management and Strategy,60000,Entry-level,Full-time,Remote,United States,M
Data Management and Strategy,52000,Entry-level,Full-time,Remote,United States,M
Machine Learning and AI,300000,Senior,Full-time,In-person,United States,M
Machine Learning and AI,260000,Senior,Full-time,In-person,United States,M
Data Science and Research,225000,Senior,Full-time,In-person,United States,M
Data Science and Research,170000,Senior,Full-time,In-person,United States,M
BI and Visualization,100000,Senior,Full-time,Remote,United States,M
BI and Visualization,80000,Senior,Full-time,Remote,United States,M
Data Science and Research,297300,Senior,Full-time,Remote,United States,M
Data Science and Research,198200,Senior,Full-time,Remote,United States,M
Machine Learning and AI,240000,Senior,Full-time,Remote,United States,M
BI and Visualization,185000,Senior,Full-time,In-person,United States,L
BI and Visualization,79600,Senior,Full-time,In-person,United States,L
Data Science and Research,222200,Senior,Full-time,In-person,United States,L
Data Engineering,110000,Senior,Full-time,Remote,United States,M
Data Engineering,95000,Senior,Full-time,Remote,United States,M
Machine Learning and AI,159000,Senior,Full-time,In-person,United States,M
Data Science and Research,71000,Mid-level,Full-time,Remote,United States,M
Data Science and Research,57000,Mid-level,Full-time,Remote,United States,M
Data Analysis,59000,Mid-level,Full-time,Remote,United States,M
Data Analysis,50000,Mid-level,Full-time,Remote,United States,M
Machine Learning and AI,234000,Senior,Full-time,Remote,United States,M
Machine Learning and AI,208000,Senior,Full-time,Remote,United States,M
Leadership and Management,187000,Senior,Full-time,Remote,United States,M
Leadership and Management,128000,Senior,Full-time,Remote,United States,M
Data Analysis,135000,Mid-level,Full-time,In-person,United States,M
Data Analysis,120000,Mid-level,Full-time,In-person,United States,M
Data Architecture and Modeling,150000,Mid-level,Full-time,Remote,United States,M
Data Architecture and Modeling,140000,Mid-level,Full-time,Remote,United States,M
Data Science and Research,280000,Senior,Full-time,Remote,United States,M
Data Science and Research,190000,Senior,Full-time,Remote,United States,M
Machine Learning and AI,245700,Senior,Full-time,In-person,United States,M
Machine Learning and AI,132300,Senior,Full-time,In-person,United States,M
Data Management and Strategy,90000,Mid-level,Full-time,In-person,United States,M
Data Management and Strategy,80000,Mid-level,Full-time,In-person,United States,M
Data Science and Research,212000,Mid-level,Full-time,In-person,United States,M
Data Science and Research,93300,Mid-level,Full-time,In-person,United States,M
Data Engineering,58300,Mid-level,Full-time,In-person,United States,M
Data Analysis,145640,Senior,Full-time,In-person,United States,M
Data Analysis,84400,Senior,Full-time,In-person,United States,M
Data Engineering,300000,Senior,Full-time,Remote,United States,M
Data Engineering,195000,Senior,Full-time,Remote,United States,M
Data Analysis,105000,Senior,Full-time,In-person,United States,M
Data Analysis,75000,Senior,Full-time,In-person,United States,M
Data Analysis,98000,Senior,Full-time,Remote,United States,M
Data Science and Research,236160,Senior,Full-time,Remote,United States,M
Data Science and Research,159408,Senior,Full-time,Remote,United States,M
Data Analysis,115000,Senior,Full-time,Remote,United States,M
